0 7372.5 9950.5
1 13555.7 13126.1
2 18898 16092.5
3 23850.6 18458.5
4 28619.4 20601.8
5 33292 22434.6
6 37925.8 24278.5
7 42379.7 25939.1
8 46865.9 27556.8
9 51317.1 28938.3
10 55728.9 30451.3
11 60176.7 31784.1
12 64539 33105
13 68850.7 34395.4
14 73304.9 35631.6
15 77696.7 36785.5
16 82064.5 37922.5
17 86456 39070.5
18 90777 40209.6
19 95101.8 41182.3
20 99486.5 42227.1
21 103783 43222.3
22 108166 44185.8
23 112486 45052.3
24 116802 46027.8
25 121139 47030.9
26 125522 47928.3
27 129874 48780.4
28 134173 49603.5
29 138577 50488
30 142834 51351.8
31 147176 52079.8
32 151543 52800.4
33 155873 53607.5
34 160096 54416.2
35 164423 55204.3
36 168758 55969
37 173068 56647
38 177462 57414.3
39 181775 58203.9
40 186048 58923.5
41 190384 59633.8
42 194722 60373.6
43 199020 61048.5
44 203438 61731.6
45 207712 62345.9
46 212117 63056.6
47 216491 63733.3
48 220745 64485.6
49 225032 65102.4
50 229384 65795.9
51 233675 66411.9
52 237985 67072.9
53 242332 67611.1
54 246603 68270.1
55 250890 68877.8
56 255275 69488.3
57 259577 70048.1
58 263962 70672.9
59 268292 71208.3
60 272547 71793.5
61 276867 72271.2
62 281131 72762.6
63 285441 73432.9
64 289773 73983.2
65 294079 74641.5
66 298449 75317.8
67 302711 75801.7
68 306980 76362.7
69 311255 76897.7
70 315574 77336.2
71 319931 77919.5
72 324163 78511
73 328405 78977.8
74 332686 79334.9
75 337006 79859.5
76 341368 80394.8
77 345669 80860.5
78 349976 81308.9
79 354265 81812.1
80 358520 82412.2
81 362820 82934.7
82 367175 83380
83 371580 83848.9
84 375976 84390.1
85 380339 84873.7
86 384650 85339.1
87 388943 85860.8
88 393231 86272.1
89 397481 86774.6
90 401826 87296.8
91 406152 87682.7
92 410512 88157.3
93 414874 88579.6
94 419198 89070
95 423518 89672.5
96 427999 90150.6
97 432351 90612.8
98 436687 91044.9
99 440909 91420.1
